,Date,News_Source,Tweet_Number,compound,neg,neu,pos
0,2017-12-08,@BBC,100,0.0,0.0,1.0,0.0
1,2017-12-08,@BBC,99,0.1027,0.104,0.769,0.126
2,2017-12-08,@BBC,98,0.5719,0.0,0.844,0.156
3,2017-12-08,@BBC,97,0.0,0.0,1.0,0.0
4,2017-12-08,@BBC,96,-0.3182,0.087,0.913,0.0
5,2017-12-08,@BBC,95,0.6124,0.0,0.833,0.167
6,2017-12-08,@BBC,94,0.0,0.0,1.0,0.0
7,2017-12-08,@BBC,93,0.6369,0.0,0.811,0.189
8,2017-12-08,@BBC,92,-0.8271,0.268,0.732,0.0
9,2017-12-08,@BBC,91,0.0,0.0,1.0,0.0
10,2017-12-08,@BBC,90,0.4767,0.0,0.814,0.186
11,2017-12-08,@BBC,89,0.4588,0.0,0.824,0.176
12,2017-12-08,@BBC,88,0.5106,0.06,0.792,0.147
13,2017-12-08,@BBC,87,0.0,0.0,1.0,0.0
14,2017-12-08,@BBC,86,0.0,0.0,1.0,0.0
15,2017-12-08,@BBC,85,0.6808,0.0,0.641,0.359
16,2017-12-08,@BBC,84,0.4939,0.0,0.868,0.132
17,2017-12-08,@BBC,83,0.0,0.0,1.0,0.0
18,2017-12-08,@BBC,82,0.0,0.0,1.0,0.0
19,2017-12-08,@BBC,81,0.34,0.0,0.882,0.118
20,2017-12-08,@BBC,80,0.0,0.0,1.0,0.0
21,2017-12-08,@BBC,79,-0.2732,0.156,0.736,0.108
22,2017-12-08,@BBC,78,-0.886,0.487,0.513,0.0
23,2017-12-08,@BBC,77,0.5423,0.0,0.837,0.163
24,2017-12-07,@BBC,76,-0.4939,0.174,0.826,0.0
25,2017-12-07,@BBC,75,0.0,0.0,1.0,0.0
26,2017-12-07,@BBC,74,0.2732,0.0,0.769,0.231
27,2017-12-07,@BBC,73,-0.4215,0.177,0.823,0.0
28,2017-12-07,@BBC,72,0.0,0.0,1.0,0.0
29,2017-12-07,@BBC,71,0.0,0.0,1.0,0.0
30,2017-12-07,@BBC,70,0.6369,0.0,0.781,0.219
31,2017-12-07,@BBC,69,-0.3612,0.143,0.857,0.0
32,2017-12-07,@BBC,68,-0.2168,0.089,0.911,0.0
33,2017-12-07,@BBC,67,0.0,0.0,1.0,0.0
34,2017-12-07,@BBC,66,0.5434,0.0,0.788,0.212
35,2017-12-07,@BBC,65,0.4019,0.0,0.816,0.184
36,2017-12-07,@BBC,64,0.128,0.0,0.923,0.077
37,2017-12-07,@BBC,63,0.34,0.0,0.87,0.13
38,2017-12-07,@BBC,62,0.8957,0.0,0.604,0.396
39,2017-12-07,@BBC,61,0.4588,0.0,0.842,0.158
40,2017-12-07,@BBC,60,0.0,0.0,1.0,0.0
41,2017-12-07,@BBC,59,-0.8934,0.394,0.606,0.0
42,2017-12-07,@BBC,58,0.7184,0.0,0.708,0.292
43,2017-12-07,@BBC,57,0.4939,0.0,0.814,0.186
44,2017-12-07,@BBC,56,0.0,0.0,1.0,0.0
45,2017-12-07,@BBC,55,0.8488,0.0,0.634,0.366
46,2017-12-07,@BBC,54,0.7579,0.0,0.694,0.306
47,2017-12-07,@BBC,53,0.0,0.0,1.0,0.0
48,2017-12-07,@BBC,52,0.0258,0.169,0.704,0.127
49,2017-12-06,@BBC,51,0.0,0.0,1.0,0.0
50,2017-12-06,@BBC,50,-0.4767,0.204,0.796,0.0
51,2017-12-06,@BBC,49,0.0,0.0,1.0,0.0
52,2017-12-06,@BBC,48,0.6696,0.0,0.756,0.244
53,2017-12-06,@BBC,47,0.0,0.0,1.0,0.0
54,2017-12-06,@BBC,46,-0.1779,0.072,0.928,0.0
55,2017-12-06,@BBC,45,0.0,0.0,1.0,0.0
56,2017-12-06,@BBC,44,0.891,0.0,0.569,0.431
57,2017-12-06,@BBC,43,-0.4767,0.103,0.897,0.0
58,2017-12-06,@BBC,42,0.0,0.0,1.0,0.0
59,2017-12-06,@BBC,41,0.5859,0.0,0.847,0.153
60,2017-12-06,@BBC,40,0.4927,0.079,0.75,0.171
61,2017-12-06,@BBC,39,0.0,0.0,1.0,0.0
62,2017-12-06,@BBC,38,0.2263,0.0,0.913,0.087
63,2017-12-06,@BBC,37,0.2023,0.133,0.703,0.164
64,2017-12-06,@BBC,36,0.6571,0.0,0.785,0.215
65,2017-12-06,@BBC,35,-0.5859,0.242,0.758,0.0
66,2017-12-06,@BBC,34,0.0,0.0,1.0,0.0
67,2017-12-06,@BBC,33,0.0,0.0,1.0,0.0
68,2017-12-06,@BBC,32,0.6249,0.0,0.758,0.242
69,2017-12-06,@BBC,31,0.0018,0.143,0.714,0.143
70,2017-12-06,@BBC,30,0.3182,0.099,0.733,0.168
71,2017-12-06,@BBC,29,0.6124,0.0,0.722,0.278
72,2017-12-06,@BBC,28,-0.8271,0.312,0.688,0.0
73,2017-12-06,@BBC,27,-0.4767,0.154,0.846,0.0
74,2017-12-06,@BBC,26,0.3182,0.0,0.881,0.119
75,2017-12-06,@BBC,25,0.4926,0.0,0.825,0.175
76,2017-12-06,@BBC,24,0.7003,0.0,0.766,0.234
77,2017-12-06,@BBC,23,0.0,0.0,1.0,0.0
78,2017-12-06,@BBC,22,0.0,0.0,1.0,0.0
79,2017-12-06,@BBC,21,-0.347,0.137,0.793,0.07
80,2017-12-06,@BBC,20,-0.5719,0.198,0.802,0.0
81,2017-12-06,@BBC,19,0.0,0.0,1.0,0.0
82,2017-12-06,@BBC,18,0.8567,0.0,0.681,0.319
83,2017-12-06,@BBC,17,-0.25,0.091,0.909,0.0
84,2017-12-06,@BBC,16,0.5093,0.0,0.82,0.18
85,2017-12-06,@BBC,15,0.0,0.0,1.0,0.0
86,2017-12-06,@BBC,14,0.0,0.0,1.0,0.0
87,2017-12-06,@BBC,13,-0.7579,0.419,0.581,0.0
88,2017-12-06,@BBC,12,0.4019,0.0,0.881,0.119
89,2017-12-06,@BBC,11,0.0,0.0,1.0,0.0
90,2017-12-05,@BBC,10,0.3818,0.0,0.809,0.191
91,2017-12-05,@BBC,9,0.0,0.0,1.0,0.0
92,2017-12-05,@BBC,8,0.0,0.0,1.0,0.0
93,2017-12-05,@BBC,7,0.6369,0.0,0.729,0.271
94,2017-12-05,@BBC,6,0.0,0.0,1.0,0.0
